cm-1,abs
399.6813,0
400.1635,0
400.6456,0
401.1277,0
401.6098,0
402.0919,0
402.5741,0
403.0562,0
403.5383,0
404.0204,0
404.5026,0
404.9847,0
405.4668,0
405.9489,0
406.4311,0
406.9132,0
407.3953,0
407.8774,0
408.3596,0
408.8417,0
409.3238,0
409.8059,0
410.2881,0
410.7702,0
411.2523,0
411.7345,0
412.2166,0
412.6987,0
413.1808,0
413.663,0
414.1451,0
414.6272,0
415.1093,0
415.5915,0
416.0736,0
416.5557,0
417.0378,0
417.52,0
418.0021,0
418.4842,0
418.9663,0
419.4485,0
419.9306,0
420.4127,0
420.8948,0
421.377,0
421.8591,0
422.3412,0
422.8233,0
423.3055,0
423.7876,0
424.2697,0
424.7518,0
425.2339,0
425.7161,0
426.1982,0
426.6803,0
427.1624,0
427.6446,0
428.1267,0
428.6088,0
429.0909,0
429.5731,0
430.0552,0
430.5373,0
431.0194,0
431.5016,0
431.9837,0
432.4658,0
432.9479,0
433.4301,0
433.9122,0
434.3943,0
434.8764,0
435.3586,0
435.8407,0
436.3228,0
436.8049,0
437.287,0
437.7692,0
438.2513,0
438.7334,0
439.2155,0
439.6977,0
440.1798,0
440.6619,0
441.144,0
441.6262,0
442.1083,0
442.5904,0
443.0725,0
443.5547,0
444.0368,0
444.5189,0
445.0011,0
445.4832,0
445.9653,0
446.4474,0
446.9296,0
447.4117,0
447.8938,0
448.3759,0
448.8581,0
449.3402,0
449.8223,0
450.3044,0
450.7866,0
451.2687,0
451.7508,0
452.2329,0
452.7151,0
453.1972,0
453.6793,0
454.1614,0
454.6436,0
455.1257,0
455.6078,0
456.0899,0
456.5721,0
457.0542,0
457.5363,0
458.0184,0
458.5005,0
458.9827,0
459.4648,0
459.9469,0
460.429,0
460.9112,0
461.3933,0
461.8754,0
462.3575,0
462.8397,0
463.3218,0
463.8039,0
464.286,0
464.7682,0
465.2503,0
465.7324,0
466.2145,0
466.6967,0
467.1788,0
467.6609,0
468.143,0
468.6252,0
469.1073,0
469.5894,0
470.0715,0
470.5536,0
471.0358,0
471.5179,0
472,0
472.4821,0
472.9643,0
473.4464,0
473.9285,0
474.4106,0
474.8928,0
475.3749,0
475.857,0
476.3391,0
476.8213,0
477.3034,0
477.7855,0
478.2677,0
478.7498,0
479.2319,0
479.714,0
480.1962,0
480.6783,0
481.1604,0
481.6425,0
482.1247,0
482.6068,0
483.0889,0
483.571,0
484.0532,0
484.5353,0
485.0174,0
485.4995,0
485.9817,0
486.4638,0
486.9459,0
487.428,0
487.9102,0
488.3923,0
488.8744,0
489.3565,0
489.8387,0
490.3208,0
490.8029,0
491.285,0
491.7672,0
492.2493,0
492.7314,0
493.2135,0
493.6956,0
494.1778,0
494.6599,0
495.142,0
495.6241,0
496.1063,0
496.5884,0
497.0705,0
